codigo_distrito,cod_ibge,distrito,regioes,codigo_subprefeitura,subprefeituras,localizacao_busca,location,geometry
80058,58,Pedreira,Sul,16.0,Cidade Ademar,"Pedreira, São Paulo, SP, Brasil","Pedreira, Região Imediata de Campinas, Região Metropolitana de Campinas, Região Geográfica Intermediária de Campinas, São Paulo, Região Sudeste, 13920-000, Brasil",POINT (-46.894846 -22.741347)
80059,59,Penha,Leste,21.0,Penha,"Penha, São Paulo, SP, Brasil","Penha - Lojas Besni, Ciclovia Radial Leste (Caminho Verde), Vila Aricanduva, Vila Matilde, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, 03656-120, Brasil",POINT (-46.5426688 -23.5334949)
80060,60,Perdizes,Oeste,8.0,Lapa,"Perdizes, São Paulo, SP, Brasil","Perdizes, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.6806705 -23.5379295)
80061,61,Perus,Norte,1.0,Perus,"Perus, São Paulo, SP, Brasil","Perus, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.7436432 -23.4084915)
80062,62,Pinheiros,Oeste,11.0,Pinheiros,"Pinheiros, São Paulo, SP, Brasil","Pinheiros, Passarela de Integração Metrô-CPTM, Pinheiros, Bairro de Pinheiros, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, 05425-030, Brasil",POINT (-46.7019515 -23.567249)
80063,63,Pirituba,Norte,2.0,Pirituba,"Pirituba, São Paulo, SP, Brasil","Pirituba, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 02937-040, Brasil",POINT (-46.7219385 -23.485533)
80064,64,Ponte Rasa,Leste,22.0,Ermelino Matarazzo,"Ponte Rasa, São Paulo, SP, Brasil","Ponte Rasa, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.4870517 -23.5110455)
80065,65,Raposo Tavares,Oeste,10.0,Butantã,"Raposo Tavares, São Paulo, SP, Brasil","Raposo Tavares, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.7805123 -23.5917093)
80066,66,República,Centro,9.0,Sé,"República, São Paulo, SP, Brasil","República, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.6422571 -23.5453345)
80067,67,Rio Pequeno,Oeste,10.0,Butantã,"Rio Pequeno, São Paulo, SP, Brasil","Rio Pequeno, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.756857 -23.5685049)
80068,68,Sacomã,Sul,13.0,Ipiranga,"Sacomã, São Paulo, SP, Brasil","Sacomã, Rua Greenfeld, Ipiranga, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, 04218-100, Brasil",POINT (-46.6025552 -23.6012824)
80069,69,Santa Cecília,Centro,9.0,Sé,"Santa Cecília, São Paulo, SP, Brasil","Santa Cecília, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.6518939 -23.5296595)
80070,70,Santana,Norte,5.0,Santana/Tucuruvi,"Santana, São Paulo, SP, Brasil","Santana, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.6289326 -23.499321)
80071,71,Santo Amaro,Sul,14.0,Santo Amaro,"Santo Amaro, São Paulo, SP, Brasil","Santo Amaro, Plataforma 2, Santo Amaro, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, 04753-060, Brasil",POINT (-46.7191156 -23.6562303)
80072,72,São Lucas,Leste,29.0,Vila Prudente,"São Lucas, São Paulo, SP, Brasil","São Lucas, Ciclovia Monotrilho Linha Prata, São Lucas, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, 03294-000, Brasil",POINT (-46.5446352 -23.5889345)
80073,73,São Mateus,Leste,30.0,São Mateus,"São Mateus, São Paulo, SP, Brasil","São Mateus, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.4817046 -23.5982995)
80074,74,São Miguel,Leste,23.0,São Miguel ,"São Miguel, São Paulo, SP, Brasil","São Miguel Paulista, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.4383287 -23.5026845)
80075,75,São Rafael,Leste,30.0,São Mateus,"São Rafael, São Paulo, SP, Brasil","São Rafael, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.4532406 -23.627159)
80076,76,Sapopemba,Leste,32.0,Sapopemba,"Sapopemba, São Paulo, SP, Brasil","Sapopemba, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.5098851 -23.6043265)
80077,77,Saúde,Sul,12.0,Vila Mariana,"Saúde, São Paulo, SP, Brasil","Saúde, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.6433933 -23.615178)
80078,78,Sé,Centro,9.0,Sé,"Sé, São Paulo, SP, Brasil","Sé, Rua Santa Teresa, Glicério, Sé, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, 01016-020, Brasil",POINT (-46.6334463 -23.5504428)
80079,79,Socorro,Sul,19.0,Capela do Socorro,"Socorro, São Paulo, SP, Brasil","Socorro, Região Imediata de Bragança Paulista, Região Geográfica Intermediária de Campinas, São Paulo, Região Sudeste, 13960-000, Brasil",POINT (-46.5249112 -22.5902619)
80080,80,Tatuapé,Leste,25.0,Mooca,"Tatuapé, São Paulo, SP, Brasil","Tatuapé, Rua Melo Freire, Vila Azevedo, Tatuapé, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, 03307-005, Brasil",POINT (-46.5766424 -23.5402524)
80081,81,Tremembé,Norte,6.0,Jaçanã/Tremembé,"Tremembé, São Paulo, SP, Brasil","Tremembé, Região Imediata de Taubaté-Pindamonhangaba, Região Metropolitana do Vale do Paraíba e Litoral Norte, Região Geográfica Intermediária de São José dos Campos, São Paulo, Região Sudeste, Brasil",POINT (-45.547526 -22.95714)
80082,82,Tucuruvi,Norte,5.0,Santana/Tucuruvi,"Tucuruvi, São Paulo, SP, Brasil","Tucuruvi, 100, Avenida Doutor Antônio Maria Laet, Tucuruvi, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, 02240-000, Brasil",POINT (-46.6029076 -23.4796813)
80083,83,Vila Andrade,Sul,17.0,Campo Limpo,"Vila Andrade, São Paulo, SP, Brasil","Vila Andrade, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.7269894 -23.625687)
80084,84,Vila Curuçá,Leste,24.0,Itaim Paulista,"Vila Curuçá, São Paulo, SP, Brasil","Vila Curuçá, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.4178928 -23.510151)
80085,85,Vila Formosa,Leste,26.0,Aricanduva/Formosa/Carrão,"Vila Formosa, São Paulo, SP, Brasil","Vila Formosa, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.5463233 -23.5668764)
80086,86,Vila Guilherme,Norte,7.0,Vila Maria/Vila Guilherme,"Vila Guilherme, São Paulo, SP, Brasil","Vila Guilherme, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.6079618 -23.5170972)
80087,87,Vila Jacuí,Leste,23.0,São Miguel ,"Vila Jacuí, São Paulo, SP, Brasil","Vila Jacuí, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.4587174 -23.500294)
80088,88,Vila Leopoldina,Oeste,8.0,Lapa,"Vila Leopoldina, São Paulo, SP, Brasil","Vila Leopoldina, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.7343193 -23.530072)
80089,89,Vila Maria,Norte,7.0,Vila Maria/Vila Guilherme,"Vila Maria, São Paulo, SP, Brasil","Vila Maria, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.5891557 -23.5131836)
80090,90,Vila Mariana,Sul,12.0,Vila Mariana,"Vila Mariana, São Paulo, SP, Brasil","Vila Mariana, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.6327408 -23.5837)
80091,91,Vila Matilde,Leste,21.0,Penha,"Vila Matilde, São Paulo, SP, Brasil","Vila Matilde, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.524605 -23.536179)
80092,92,Vila Medeiros,Norte,7.0,Vila Maria/Vila Guilherme,"Vila Medeiros, São Paulo, SP, Brasil","Vila Medeiros, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.5844955 -23.487707)
80093,93,Vila Prudente,Leste,29.0,Vila Prudente,"Vila Prudente, São Paulo, SP, Brasil","Vila Prudente, Avenida Professor Luiz Ignácio Anhaia Mello, Vila Prudente, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, 03133-000, Brasil",POINT (-46.5833457 -23.5846609)
80094,94,Vila Sônia,Oeste,10.0,Butantã,"Vila Sônia, São Paulo, SP, Brasil","Vila Sônia, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.7392935 -23.5986562)
80095,95,São Domingos,Norte,2.0,Pirituba,"São Domingos, São Paulo, SP, Brasil","São Domingos, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.7421942 -23.4938759)
80096,96,Lajeado,Leste,28.0,Guaianases,"Lajeado, São Paulo, SP, Brasil","Lajeado, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Região Sudeste, Brasil",POINT (-46.4100218 -23.5362478)
80097,97,Capital sem especificação,,,Capital sem especificação,"Capital sem especificação, São Paulo, SP, Brasil",,
